plate,row_letter,col_number,rep,day,inoc,salt,temp,well
P15,B,9,R3,D7,charles,46%,roomT,B9
P15,B,10,R1,D7,fucus,46%,roomT,B10
P15,B,11,R2,D7,fucus,46%,roomT,B11
P15,B,12,R3,D7,fucus,46%,roomT,B12
P15,C,1,R1,D7,ica,31%,roomT,C1
P15,C,2,R2,D7,ica,31%,roomT,C2
P15,C,3,R3,D7,ica,31%,roomT,C3
P15,C,4,R1,D7,nahant,31%,roomT,C4
P15,C,5,R2,D7,nahant,31%,roomT,C5
P15,C,6,R3,D7,nahant,31%,roomT,C6
P15,C,7,R1,D7,charles,31%,roomT,C7
P15,C,8,R2,D7,charles,31%,roomT,C8
P15,C,9,R3,D7,charles,31%,roomT,C9
P15,C,10,R1,D7,fucus,31%,roomT,C10
P15,C,11,R2,D7,fucus,31%,roomT,C11
P15,C,12,R3,D7,fucus,31%,roomT,C12
P15,D,1,R1,D7,ica,16%,roomT,D1
P15,D,2,R2,D7,ica,16%,roomT,D2
P15,D,3,R3,D7,ica,16%,roomT,D3
P15,D,4,R1,D7,nahant,16%,roomT,D4
P15,D,5,R2,D7,nahant,16%,roomT,D5
P15,D,6,R3,D7,nahant,16%,roomT,D6
P15,D,7,R1,D7,charles,16%,roomT,D7
P15,D,8,R2,D7,charles,16%,roomT,D8
P15,D,9,R3,D7,charles,16%,roomT,D9
P15,D,10,R1,D7,fucus,16%,roomT,D10
P15,D,11,R2,D7,fucus,16%,roomT,D11
P15,D,12,R3,D7,fucus,16%,roomT,D12
P15,E,1,R1,D6,ica,46%,roomT,E1
P15,E,2,R2,D6,ica,46%,roomT,E2
P15,E,3,R3,D6,ica,46%,roomT,E3
P15,E,4,R1,D6,nahant,46%,roomT,E4
P15,E,5,R2,D6,nahant,46%,roomT,E5
P15,E,6,R3,D6,nahant,46%,roomT,E6
P15,E,7,R1,D6,charles,46%,roomT,E7
P15,E,8,R2,D6,charles,46%,roomT,E8
P15,E,9,R3,D6,charles,46%,roomT,E9
P15,E,10,R1,D6,fucus,46%,roomT,E10
P15,E,11,R2,D6,fucus,46%,roomT,E11
P15,E,12,R3,D6,fucus,46%,roomT,E12
P15,F,1,R1,D6,ica,31%,roomT,F1
P15,F,2,R2,D6,ica,31%,roomT,F2
P15,F,3,R3,D6,ica,31%,roomT,F3
P15,F,4,R1,D6,nahant,31%,roomT,F4
P15,F,5,R2,D6,nahant,31%,roomT,F5
P15,F,6,R3,D6,nahant,31%,roomT,F6
P15,F,7,R1,D6,charles,31%,roomT,F7
P15,F,8,R2,D6,charles,31%,roomT,F8
P15,F,9,R3,D6,charles,31%,roomT,F9
P15,F,10,R1,D6,fucus,31%,roomT,F10
P15,F,11,R2,D6,fucus,31%,roomT,F11
P15,F,12,R3,D6,fucus,31%,roomT,F12
P15,G,1,R1,D6,ica,16%,roomT,G1
P15,G,2,R2,D6,ica,16%,roomT,G2
P15,G,3,R3,D6,ica,16%,roomT,G3
P15,G,4,R1,D6,nahant,16%,roomT,G4
P15,G,5,R2,D6,nahant,16%,roomT,G5
P15,G,6,R3,D6,nahant,16%,roomT,G6
P15,G,7,R1,D6,charles,16%,roomT,G7
P15,G,8,R2,D6,charles,16%,roomT,G8
P15,G,9,R3,D6,charles,16%,roomT,G9
P15,G,10,R1,D6,fucus,16%,roomT,G10
P15,G,11,R2,D6,fucus,16%,roomT,G11
P15,G,12,R3,D6,fucus,16%,roomT,G12
P15,H,1,R1,D5,ica,46%,roomT,H1
P15,H,2,R2,D5,ica,46%,roomT,H2
P15,H,3,R3,D5,ica,46%,roomT,H3
P15,H,4,R1,D5,nahant,46%,roomT,H4
P15,H,5,R2,D5,nahant,46%,roomT,H5
P15,H,6,R3,D5,nahant,46%,roomT,H6
P15,H,7,R1,D5,charles,46%,roomT,H7
P15,H,8,R2,D5,charles,46%,roomT,H8
P15,H,9,R3,D5,charles,46%,roomT,H9
P15,H,10,R1,D5,fucus,46%,roomT,H10
P15,H,11,R2,D5,fucus,46%,roomT,H11
P15,H,12,R3,D5,fucus,46%,roomT,H12
P16,A,1,R1,D5,ica,31%,15C,A1
P16,A,2,R2,D5,ica,31%,15C,A2
P16,A,3,R3,D5,ica,31%,15C,A3
P16,A,4,R1,D5,nahant,31%,15C,A4
P16,A,5,R2,D5,nahant,31%,15C,A5
P16,A,6,R3,D5,nahant,31%,15C,A6
P16,A,7,R1,D5,charles,31%,15C,A7
P16,A,8,R2,D5,charles,31%,15C,A8
P16,A,9,R3,D5,charles,31%,15C,A9
P16,A,10,R1,D5,fucus,31%,15C,A10
P16,A,11,R2,D5,fucus,31%,15C,A11
P16,A,12,R3,D5,fucus,31%,15C,A12
P16,B,1,R1,D5,ica,16%,15C,B1
P16,B,2,R2,D5,ica,16%,15C,B2
P16,B,3,R3,D5,ica,16%,15C,B3
P16,B,4,R1,D5,nahant,16%,15C,B4
P16,B,5,R2,D5,nahant,16%,15C,B5
P16,B,6,R3,D5,nahant,16%,15C,B6
P16,B,7,R1,D5,charles,16%,15C,B7
P16,B,8,R2,D5,charles,16%,15C,B8
P16,B,9,R3,D5,charles,16%,15C,B9
P16,B,10,R1,D5,fucus,16%,15C,B10
P16,B,11,R2,D5,fucus,16%,15C,B11
P16,B,12,R3,D5,fucus,16%,15C,B12
P16,C,1,R1,D3,ica,46%,15C,C1
P16,C,2,R2,D3,ica,46%,15C,C2
P16,C,3,R3,D3,ica,46%,15C,C3
P16,C,4,R1,D3,nahant,46%,15C,C4
P16,C,5,R2,D3,nahant,46%,15C,C5
P16,C,6,R3,D3,nahant,46%,15C,C6
P16,C,7,R1,D3,charles,46%,15C,C7
P16,C,8,R2,D3,charles,46%,15C,C8
P16,C,9,R3,D3,charles,46%,15C,C9
P16,C,10,R1,D3,fucus,46%,15C,C10
P16,C,11,R2,D3,fucus,46%,15C,C11
P16,C,12,R3,D3,fucus,46%,15C,C12
P16,D,1,R1,D3,ica,31%,15C,D1
P16,D,2,R2,D3,ica,31%,15C,D2
P16,D,3,R3,D3,ica,31%,15C,D3
P16,D,4,R1,D3,nahant,31%,15C,D4
P16,D,5,R2,D3,nahant,31%,15C,D5
P16,D,6,R3,D3,nahant,31%,15C,D6
P16,D,7,R1,D3,charles,31%,15C,D7
P16,D,8,R2,D3,charles,31%,15C,D8
P16,D,9,R3,D3,charles,31%,15C,D9
P16,D,10,R1,D3,fucus,31%,15C,D10
P16,D,11,R2,D3,fucus,31%,15C,D11
P16,D,12,R3,D3,fucus,31%,15C,D12
P16,E,1,R1,D3,ica,16%,15C,E1
P16,E,2,R2,D3,ica,16%,15C,E2
P16,E,3,R3,D3,ica,16%,15C,E3
P16,E,4,R1,D3,nahant,16%,15C,E4
P16,E,5,R2,D3,nahant,16%,15C,E5
P16,E,6,R3,D3,nahant,16%,15C,E6
P16,E,7,R1,D3,charles,16%,15C,E7
P16,E,8,R2,D3,charles,16%,15C,E8
P16,E,9,R3,D3,charles,16%,15C,E9
P16,E,10,R1,D3,fucus,16%,15C,E10
P16,E,11,R2,D3,fucus,16%,15C,E11
P16,E,12,R3,D3,fucus,16%,15C,E12
P16,F,1,R1,D1,ica,46%,15C,F1
P16,F,2,R2,D1,ica,46%,15C,F2
P16,F,3,R3,D1,ica,46%,15C,F3
P16,F,4,R1,D1,nahant,46%,15C,F4
P16,F,5,R2,D1,nahant,46%,15C,F5
P16,F,6,R3,D1,nahant,46%,15C,F6
P16,F,7,R1,D1,charles,46%,15C,F7
P16,F,8,R2,D1,charles,46%,15C,F8
P16,F,9,R3,D1,charles,46%,15C,F9
P16,F,10,R1,D1,fucus,46%,15C,F10
P16,F,11,R2,D1,fucus,46%,15C,F11
P16,F,12,R3,D1,fucus,46%,15C,F12
P16,G,1,R1,D1,ica,31%,15C,G1
P16,G,2,R2,D1,ica,31%,15C,G2
P16,G,3,R3,D1,ica,31%,15C,G3
P16,G,4,R1,D1,nahant,31%,15C,G4
P16,G,5,R2,D1,nahant,31%,15C,G5
P16,G,6,R3,D1,nahant,31%,15C,G6
P16,G,7,R1,D1,charles,31%,15C,G7
P16,G,8,R2,D1,charles,31%,15C,G8
P16,G,9,R3,D1,charles,31%,15C,G9
P16,G,10,R1,D1,fucus,31%,15C,G10
P16,G,11,R2,D1,fucus,31%,15C,G11
P16,G,12,R3,D1,fucus,31%,15C,G12
P16,H,1,R1,D1,ica,16%,15C,H1
P16,H,2,R2,D1,ica,16%,15C,H2
P16,H,3,R3,D1,ica,16%,15C,H3
P16,H,4,R1,D1,nahant,16%,15C,H4
P16,H,5,R2,D1,nahant,16%,15C,H5
P16,H,6,R3,D1,nahant,16%,15C,H6
P16,H,7,R1,D1,charles,16%,15C,H7
P16,H,8,R2,D1,charles,16%,15C,H8
P16,H,9,R3,D1,charles,16%,15C,H9
P16,H,10,R1,D1,fucus,16%,15C,H10
P16,H,11,R2,D1,fucus,16%,15C,H11
