rep,day,inoc,salt,temp,mcn
R1,D7,ica,31%,roomT,5.78258619423997
R1,D7,ica,46%,15C,7.03621228760945
R1,D7,ica,46%,roomT,9.357518861119072
R1,D7,nahant,16%,15C,8.8085447732973
R1,D7,nahant,16%,roomT,6.554145251101267
R1,D7,nahant,31%,15C,9.184276823846547
R1,D7,nahant,31%,roomT,8.299498557290073
R1,D7,nahant,46%,15C,7.168762315764703
R1,D7,nahant,46%,roomT,11.36736398089461
R2,D0,charles,inoculum,NA,3.2949335170580074
R2,D0,fucus,inoculum,NA,3.247967301771524
R2,D0,ica,inoculum,NA,3.4676755154641894
R2,D0,nahant,inoculum,NA,7.334107083354153
R2,D1,charles,16%,15C,5.4456296502534745
R2,D1,charles,16%,roomT,6.707309513932704
R2,D1,charles,31%,15C,4.600651741317333
R2,D1,charles,31%,roomT,5.612405300560718
R2,D1,charles,46%,15C,4.458200210820416
R2,D1,charles,46%,roomT,5.28103965163363
R2,D1,fucus,16%,15C,3.7474159942586094
R2,D1,fucus,16%,roomT,7.701632893806284
R2,D1,fucus,31%,15C,4.586296438530872
R2,D1,fucus,31%,roomT,8.14168363131321
R2,D1,fucus,46%,15C,4.0149263533744834
R2,D1,fucus,46%,roomT,9.209586001402965
R2,D1,ica,16%,15C,4.930205537239786
R2,D1,ica,16%,roomT,7.908191155786245
R2,D1,ica,31%,15C,5.463009913546881
R2,D1,ica,31%,roomT,8.50544706772323
R2,D1,ica,46%,15C,4.934979353594575
R2,D1,ica,46%,roomT,7.963499652410594
R2,D1,nahant,16%,15C,5.702892973440826
R2,D1,nahant,16%,roomT,8.602717560181288
R2,D1,nahant,31%,15C,6.802173246214225
R2,D1,nahant,31%,roomT,10.634605173144662
R2,D1,nahant,46%,15C,4.1848404105993895
R2,D1,nahant,46%,roomT,10.813317785301225
R2,D3,charles,16%,15C,3.5950301168960603
R2,D3,charles,16%,roomT,6.9919982917976355
R2,D3,charles,31%,15C,4.15816813804841
R2,D3,charles,31%,roomT,7.42341992911064
R2,D3,charles,46%,15C,4.769088316729057
R2,D3,charles,46%,roomT,4.769840365799557
R2,D3,fucus,16%,15C,7.03117225824152
R2,D3,fucus,16%,roomT,3.997202447958542
