day_ID,salinity,salt,competition,pair,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D3,61,61,50-50,40-39,40,39,3500000000,0,1
D3,61,61,50-50,40-8,40,8,1166666666.6666667,600000000,0.3443627450980392
D3,61,61,50-50,40-II.F2,40,II.F2,933333333.3333334,1833333333.3333333,0.3382961124896609
D3,61,61,50-50,6-25,6,25,9000000000,6333333333.333333,0.5757834757834758
D3,61,61,95-5,2-25,2,25,2333333333.3333335,1333333333.3333333,0.6333333333333333
D3,61,61,95-5,2-32,2,32,200000000,1233333333.3333333,0.8526658526658527
D3,61,61,95-5,2-II.F2,2,II.F2,1166666666.6666667,133333333.33333333,0.888888888888889
D3,61,61,95-5,40-2,40,2,466666666.6666667,1733333333.3333333,0.7849206349206349
D3,61,61,95-5,40-39,40,39,3866666666.6666665,0,1
D3,61,61,95-5,40-8,40,8,1100000000,533333333.3333333,0.35702075702075703
D3,61,61,95-5,40-II.F2,40,II.F2,1400000000,1533333333.3333333,0.4733044733044733
D3,61,61,95-5,6-25,6,25,8000000000,4666666666.666667,0.669047619047619
D5,16,16,100,2,2,2,1133333333.3333333,0,1
D5,16,16,100,25,25,25,11466666666.666666,0,1
D5,16,16,100,32,32,32,1466666666.6666667,0,1
D5,16,16,100,39,39,39,4833333333.333333,0,1
D5,16,16,100,40,40,40,2000000000,0,1
D5,16,16,100,8,8,8,1366666666.6666667,0,1
D5,16,16,100,II.F2,II.F2,II.F2,2866666666.6666665,0,1
D5,16,16,5-95,2-25,2,25,1500000000,16000000000,0.0625
D5,16,16,5-95,2-32,2,32,100000000,133333333.33333333,0.5555555555555556
D5,16,16,5-95,2-II.F2,2,II.F2,433333333.3333333,4066666666.6666665,0.0903561424569828
D5,16,16,5-95,40-2,40,2,2800000000,0,0
D5,16,16,5-95,40-39,40,39,1833333333.3333333,1233333333.3333333,0.5226302189582483
D5,16,16,5-95,40-8,40,8,3600000000,66666666.66666667,0.02564102564102564
D5,16,16,5-95,40-II.F2,40,II.F2,2833333333.3333335,666666666.6666666,0.8056884057971014
D5,16,16,5-95,6-25,6,25,15000000000,10000000000,0.6090225563909775
D5,16,16,50-50,2-25,2,25,1666666666.6666667,15333333333.333334,0.10381836945304437
D5,16,16,50-50,2-32,2,32,0,2300000000,1
D5,16,16,50-50,2-II.F2,2,II.F2,566666666.6666666,4433333333.333333,0.11290252956919623
D5,16,16,50-50,40-2,40,2,5166666666.666667,0,0
D5,16,16,50-50,40-39,40,39,2833333333.3333335,1000000000,0.6430335097001764
D5,16,16,50-50,40-8,40,8,3133333333.3333335,433333333.3333333,0.10304405369635092
D5,16,16,50-50,40-II.F2,40,II.F2,3500000000,366666666.6666667,0.8897546897546897
D5,16,16,50-50,6-25,6,25,7000000000,10666666666.666666,0.39721097615834455
D5,16,16,95-5,2-25,2,25,2333333333.3333335,12666666666.666666,0.13725490196078433
D5,16,16,95-5,2-32,2,32,33333333.333333336,2033333333.3333333,0.8888888888888888
D5,16,16,95-5,2-II.F2,2,II.F2,600000000,4866666666.666667,0.10636161560029302
D5,16,16,95-5,40-2,40,2,2433333333.3333335,0,0
D5,16,16,95-5,40-39,40,39,2166666666.6666665,866666666.6666666,0.6734307359307359
D5,16,16,95-5,40-8,40,8,3300000000,400000000,0.08316326530612245
D5,16,16,95-5,40-II.F2,40,II.F2,1800000000,166666666.66666666,0.9184265010351966
D5,16,16,95-5,6-25,6,25,8000000000,7333333333.333333,0.5219421101774042
D5,31,31,100,2,2,2,2066666666.6666667,0,1
D5,31,31,100,25,25,25,9266666666.666666,0,1
D5,31,31,100,32,32,32,3033333333.3333335,0,1
D5,31,31,100,39,39,39,1766666666.6666667,0,1
D5,31,31,100,40,40,40,4633333333.333333,0,1
D5,31,31,100,8,8,8,2300000000,0,1
D5,31,31,100,II.F2,II.F2,II.F2,2633333333.3333335,0,1
D5,31,31,5-95,2-25,2,25,666666666.6666666,7000000000,0.08333333333333333
D5,31,31,5-95,2-32,2,32,66666666.66666667,1433333333.3333333,0.6666666666666666
D5,31,31,5-95,2-II.F2,2,II.F2,1600000000,733333333.3333334,0.6917588584255251
D5,31,31,5-95,40-2,40,2,5300000000,366666666.6666667,0.07513358966775116
D5,31,31,5-95,40-39,40,39,3366666666.6666665,400000000,0.8796430555254976
D5,31,31,5-95,40-8,40,8,3166666666.6666665,766666666.6666666,0.19323308270676692
D5,31,31,5-95,40-II.F2,40,II.F2,4933333333.333333,0,1
D5,31,31,5-95,6-25,6,25,3666666666.6666665,10666666666.666666,0.2523809523809524
D5,31,31,50-50,2-25,2,25,2666666666.6666665,9000000000,0.22474747474747475
D5,31,31,50-50,2-32,2,32,66666666.66666667,3166666666.6666665,0.9753086419753086
D5,31,31,50-50,2-II.F2,2,II.F2,1800000000,666666666.6666666,0.7414141414141414
D5,31,31,50-50,40-2,40,2,5700000000,66666666.666666664,0.01121160731109855
D5,31,31,50-50,40-39,40,39,4133333333.3333335,100000000,0.9660818713450292
D5,31,31,50-50,40-8,40,8,3333333333.3333335,800000000,0.22119883040935673
D5,31,31,50-50,40-II.F2,40,II.F2,5733333333.333333,0,1
D5,31,31,50-50,6-25,6,25,5000000000,10666666666.666666,0.3614766081871345
D5,31,31,95-5,2-25,2,25,333333333.3333334,11000000000,0.030303030303030304
D5,31,31,95-5,2-32,2,32,100000000,2733333333.3333335,0.9655172413793104
D5,31,31,95-5,2-II.F2,2,II.F2,1666666666.6666667,66666666.66666667,0.9583333333333334
D5,31,31,95-5,40-2,40,2,5666666666.666667,133333333.33333333,0.02299192360406178
D5,31,31,95-5,40-39,40,39,4433333333.333333,66666666.666666664,0.9860566448801743
D5,31,31,95-5,40-8,40,8,3700000000,666666666.6666666,0.1540204678362573
D5,31,31,95-5,40-II.F2,40,II.F2,5533333333.333333,33333333.333333336,0.9938271604938271
D5,31,31,95-5,6-25,6,25,5666666666.666667,10666666666.666666,0.33194444444444443
D5,46,46,100,2,2,2,900000000,0,1
D5,46,46,100,25,25,25,7233333333.333333,0,1
D5,46,46,100,32,32,32,1833333333.3333333,0,1
D5,46,46,100,39,39,39,500000000,0,1
D5,46,46,100,40,40,40,2033333333.3333333,0,1
D5,46,46,100,8,8,8,1266666666.6666667,0,1
D5,46,46,100,II.F2,II.F2,II.F2,1500000000,0,1
D5,46,46,5-95,2-25,2,25,2166666666.6666665,3500000000,0.34325396825396826
D5,46,46,5-95,2-32,2,32,166666666.6666667,2233333333.3333335,0.927536231884058
D5,46,46,5-95,2-II.F2,2,II.F2,800000000,1566666666.6666667,0.3458725182863114
D5,46,46,5-95,40-2,40,2,700000000,1033333333.3333334,0.5848073495132319
D5,46,46,5-95,40-39,40,39,1766666666.6666667,0,1
D5,46,46,5-95,40-8,40,8,3033333333.3333335,466666666.6666667,0.13914095583787053
D5,46,46,5-95,40-II.F2,40,II.F2,3000000000,1733333333.3333333,0.6312614864134409
D5,46,46,5-95,6-25,6,25,7500000000,5500000000,0.5848717055613607
D5,46,46,50-50,2-25,2,25,2000000000,4166666666.6666665,0.2986111111111111
D5,46,46,50-50,2-32,2,32,66666666.66666667,2066666666.6666667,0.9682539682539683
D5,46,46,50-50,2-II.F2,2,II.F2,800000000,1566666666.6666667,0.4036796536796537
D5,46,46,50-50,40-2,40,2,2300000000,200000000,0.07518336070060208
D5,46,46,50-50,40-39,40,39,1766666666.6666667,100000000,0.9
D5,46,46,50-50,40-8,40,8,2566666666.6666665,533333333.3333333,0.18458874458874458
D5,46,46,50-50,40-II.F2,40,II.F2,3933333333.3333335,1633333333.3333333,0.7231296415693579
D5,46,46,50-50,6-25,6,25,8500000000,5833333333.333333,0.6018903318903319
D5,46,46,95-5,2-25,2,25,2333333333.3333335,5000000000,0.30683760683760686
D5,46,46,95-5,2-32,2,32,166666666.66666666,2266666666.6666665,0.9484386347131445
D5,46,46,95-5,2-II.F2,2,II.F2,1100000000,66666666.66666667,0.9333333333333333
D5,46,46,95-5,40-2,40,2,1466666666.6666667,166666666.66666666,0.0980952380952381
D5,46,46,95-5,40-39,40,39,2533333333.3333335,0,1
D5,46,46,95-5,40-8,40,8,2300000000,566666666.6666666,0.2
D5,46,46,95-5,40-II.F2,40,II.F2,3166666666.6666665,733333333.3333334,0.8268133371062063
D5,46,46,95-5,6-25,6,25,7000000000,6833333333.333333,0.5100308641975309
D5,61,61,100,2,2,2,1433333333.3333333,0,1
D5,61,61,100,25,25,25,7266666666.666667,0,1
D5,61,61,100,32,32,32,4600000000,0,1
D5,61,61,100,39,39,39,333333333.3333334,0,1
D5,61,61,100,40,40,40,5700000000,0,1
D5,61,61,100,8,8,8,2100000000,0,1
D5,61,61,100,II.F2,II.F2,II.F2,2366666666.6666665,0,1
D5,61,61,5-95,2-25,2,25,3000000000,4833333333.333333,0.4027388733271086
D5,61,61,5-95,2-32,2,32,300000000,2366666666.6666665,0.8769963630613535
D5,61,61,5-95,2-II.F2,2,II.F2,1400000000,433333333.3333333,0.7822890559732665
D5,61,61,5-95,40-2,40,2,0,1800000000,1
D5,61,61,5-95,40-39,40,39,0,0,NA
D5,61,61,5-95,40-8,40,8,1100000000,1233333333.3333333,0.5595878136200717
D5,61,61,5-95,40-II.F2,40,II.F2,2600000000,2333333333.3333335,0.52725263591525
D5,61,61,5-95,6-25,6,25,9666666666.666666,4833333333.333333,0.641969696969697
D5,61,61,50-50,2-25,2,25,3166666666.6666665,2833333333.3333335,0.50503663003663
D5,61,61,50-50,2-32,2,32,300000000,1900000000,0.8471177944862155
D5,61,61,50-50,2-II.F2,2,II.F2,1433333333.3333333,533333333.3333333,0.7757575757575758
D5,61,61,50-50,40-2,40,2,33333333.333333336,1933333333.3333333,0.9855072463768116
D5,61,61,50-50,40-39,40,39,4566666666.666667,0,1
D5,61,61,50-50,40-8,40,8,2100000000,600000000,0.22690929142542046
D5,61,61,50-50,40-II.F2,40,II.F2,2033333333.3333333,3433333333.3333335,0.37780448717948717
D5,61,61,50-50,6-25,6,25,11500000000,6833333333.333333,0.623905723905724
D5,61,61,95-5,2-25,2,25,2000000000,3666666666.6666665,0.298989898989899
D5,61,61,95-5,2-32,2,32,100000000,2366666666.6666665,0.9642857142857143
D5,61,61,95-5,2-II.F2,2,II.F2,1033333333.3333334,100000000,0.924908424908425
D5,61,61,95-5,40-2,40,2,33333333.333333336,1466666666.6666667,0.9777777777777777
D5,61,61,95-5,40-39,40,39,5100000000,0,1
D5,61,61,95-5,40-8,40,8,2133333333.3333333,600000000,0.22505973715651134
D5,61,61,95-5,40-II.F2,40,II.F2,1600000000,2366666666.6666665,0.4064770028258872
D5,61,61,95-5,6-25,6,25,3500000000,5666666666.666667,0.3806100217864924
D7,16,16,100,2,2,2,1500000000,0,1
D7,16,16,100,25,25,25,9200000000,0,1
D7,16,16,100,32,32,32,2833333333.3333335,0,1
D7,16,16,100,39,39,39,4666666666.666667,0,1
D7,16,16,100,40,40,40,4233333333.3333335,0,1
D7,16,16,100,8,8,8,1500000000,0,1
D7,16,16,100,II.F2,II.F2,II.F2,1733333333.3333333,0,1
D7,16,16,5-95,2-25,2,25,4250000000,8250000000,0.33653846153846156
D7,16,16,5-95,2-32,2,32,0,2833333333.3333335,1
D7,16,16,5-95,2-II.F2,2,II.F2,266666666.66666666,2500000000,0.09450830140485313
D7,16,16,5-95,40-2,40,2,3066666666.6666665,133333333.33333333,0.043634727845254156
D7,16,16,5-95,40-39,40,39,1766666666.6666667,1400000000,0.5158831908831909
D7,16,16,5-95,40-8,40,8,3566666666.6666665,833333333.3333334,0.19154471544715448
D7,16,16,5-95,40-II.F2,40,II.F2,3033333333.3333335,166666666.66666666,0.9489157676800697
D7,16,16,5-95,6-25,6,25,6166666666.666667,3666666666.6666665,0.6381673881673882
D7,16,16,50-50,2-25,2,25,333333333.3333334,11500000000,0.02222222222222222
D7,16,16,50-50,2-32,2,32,0,1866666666.6666667,1
D7,16,16,50-50,2-II.F2,2,II.F2,666666666.6666666,2900000000,0.19365079365079363
D7,16,16,50-50,40-2,40,2,2933333333.3333335,233333333.33333334,0.0878167641325536
D7,16,16,50-50,40-39,40,39,3433333333.3333335,1200000000,0.74026792750197
D7,16,16,50-50,40-8,40,8,2933333333.3333335,533333333.3333333,0.15551782682512733
D7,16,16,50-50,40-II.F2,40,II.F2,4100000000,133333333.33333334,0.9705933229545062
D7,16,16,50-50,6-25,6,25,8833333333.333334,2666666666.6666665,0.7318007662835249
D7,16,16,95-5,2-25,2,25,500000000,12833333333.333334,0.045188729399255716
D7,16,16,95-5,2-32,2,32,0,2800000000,1
D7,16,16,95-5,2-II.F2,2,II.F2,366666666.6666667,2866666666.6666665,0.11808865215088932
D7,16,16,95-5,40-2,40,2,4033333333.3333335,33333333.333333336,0.009259259259259259
D7,16,16,95-5,40-39,40,39,3733333333.3333335,1100000000,0.7798083798083798
D7,16,16,95-5,40-8,40,8,3500000000,500000000,0.12832207019763198
D7,16,16,95-5,40-II.F2,40,II.F2,3533333333.3333335,33333333.333333336,0.9871794871794872
D7,16,16,95-5,6-25,6,25,7166666666.666667,3833333333.3333335,0.6339869281045751
D7,31,31,100,2,2,2,966666666.6666666,0,1
D7,31,31,100,25,25,25,6433333333.333333,0,1
D7,31,31,100,32,32,32,1333333333.3333333,0,1
D7,31,31,100,39,39,39,2900000000,0,1
D7,31,31,100,40,40,40,4800000000,0,1
D7,31,31,100,8,8,8,1666666666.6666667,0,1
D7,31,31,100,II.F2,II.F2,II.F2,2166666666.6666665,0,1
D7,31,31,5-95,2-25,2,25,2500000000,5333333333.333333,0.31805555555555554
D7,31,31,5-95,2-32,2,32,833333333.3333334,833333333.3333333,0.3205128205128205
D7,31,31,5-95,2-II.F2,2,II.F2,1300000000,1000000000,0.5583712905452036
D7,31,31,5-95,40-2,40,2,2833333333.3333335,900000000,0.23651793934207285
D7,31,31,5-95,40-39,40,39,1133333333.3333333,600000000,0.667056530214425
D7,31,31,5-95,40-8,40,8,2666666666.6666665,933333333.3333334,0.26268331788829563
D7,31,31,5-95,40-II.F2,40,II.F2,5933333333.333333,266666666.6666667,0.9573260073260074
D7,31,31,5-95,6-25,6,25,1833333333.3333333,8833333333.333334,0.1730503795721187
D7,31,31,50-50,2-25,2,25,1166666666.6666667,5000000000,0.1858974358974359
D7,31,31,50-50,2-32,2,32,166666666.66666666,2300000000,0.9365079365079365
D7,31,31,50-50,2-II.F2,2,II.F2,1033333333.3333334,1566666666.6666667,0.4062188482478337
D7,31,31,50-50,40-2,40,2,2566666666.6666665,566666666.6666666,0.17572751322751323
D7,31,31,50-50,40-39,40,39,966666666.6666666,800000000,0.5946275946275946
D7,31,31,50-50,40-8,40,8,3500000000,733333333.3333334,0.1781147663500605
D7,31,31,50-50,40-II.F2,40,II.F2,6966666666.666667,33333333.333333336,0.9953703703703703
D7,31,31,50-50,6-25,6,25,3166666666.6666665,6166666666.666667,0.3414322250639386
D7,31,31,95-5,2-25,2,25,1833333333.3333333,6666666666.666667,0.20638611175695576
D7,31,31,95-5,2-32,2,32,300000000,1233333333.3333333,0.7512626262626263
D7,31,31,95-5,2-II.F2,2,II.F2,1500000000,33333333.333333336,0.9743589743589743
D7,31,31,95-5,40-2,40,2,2200000000,566666666.6666666,0.2065819485174324
D7,31,31,95-5,40-39,40,39,1266666666.6666667,433333333.3333333,0.7555555555555555
D7,31,31,95-5,40-8,40,8,3500000000,966666666.6666666,0.21990361883978904
D7,31,31,95-5,40-II.F2,40,II.F2,5800000000,133333333.33333333,0.9794677406617706
D7,31,31,95-5,6-25,6,25,3166666666.6666665,12000000000,0.21117084826762245
D7,46,46,100,2,2,2,1166666666.6666667,0,1
D7,46,46,100,25,25,25,8233333333.333333,0,1
D7,46,46,100,32,32,32,1933333333.3333333,0,1
D7,46,46,100,39,39,39,400000000,0,1
D7,46,46,100,40,40,40,1733333333.3333333,0,1
D7,46,46,100,8,8,8,1366666666.6666667,0,1
D7,46,46,100,II.F2,II.F2,II.F2,1100000000,0,1
D7,46,46,5-95,2-25,2,25,7166666666.666667,1833333333.3333333,0.7468766613503456
D7,46,46,5-95,2-32,2,32,0,1066666666.6666666,1
D7,46,46,5-95,2-II.F2,2,II.F2,1566666666.6666667,533333333.3333333,0.7550312563016737
D7,46,46,5-95,40-2,40,2,400000000,1700000000,0.8022592713668228
D7,46,46,5-95,40-39,40,39,10000000000,0,1
D7,46,46,5-95,40-8,40,8,1700000000,1300000000,0.43801169590643274
D7,46,46,5-95,40-II.F2,40,II.F2,1800000000,133333333.33333334,0.9310344827586207
D7,46,46,5-95,6-25,6,25,44666666666.666664,1333333333.3333333,0.9454545454545454
D7,46,46,50-50,2-25,2,25,9833333333.333334,2000000000,0.8237076648841355
D7,46,46,50-50,2-32,2,32,233333333.3333333,1666666666.6666667,0.9053934571175951
D7,46,46,50-50,2-II.F2,2,II.F2,1533333333.3333333,766666666.6666666,0.6794261294261295
D7,46,46,50-50,40-2,40,2,1033333333.3333334,1333333333.3333333,0.5588405797101449
D7,46,46,50-50,40-39,40,39,6366666666.666667,0,1
D7,46,46,50-50,40-8,40,8,1733333333.3333333,800000000,0.3154108131119625
D7,46,46,50-50,40-II.F2,40,II.F2,1766666666.6666665,233333333.3333333,0.8833333333333333
D7,46,46,50-50,6-25,6,25,38666666666.666664,1000000000,0.9523809523809523
D7,46,46,95-5,2-25,2,25,2666666666.6666665,4166666666.6666665,0.3974867724867725
D7,46,46,95-5,2-32,2,32,133333333.33333333,1600000000,0.9249827467218772
D7,46,46,95-5,2-II.F2,2,II.F2,800000000,333333333.3333333,0.7453703703703703
D7,46,46,95-5,40-2,40,2,700000000,1000000000,0.587547299621603
D7,46,46,95-5,40-39,40,39,4466666666.666667,0,1
D7,46,46,95-5,40-8,40,8,1000000000,1166666666.6666667,0.5440476190476191
D7,46,46,95-5,40-II.F2,40,II.F2,3266666666.6666665,333333333.3333333,0.9042865446091253
D7,46,46,95-5,6-25,6,25,3666666666.6666665,6500000000,0.3421658986175115
D7,61,61,100,2,2,2,1500000000,0,1
D7,61,61,100,25,25,25,6266666666.666667,0,1
D7,61,61,100,32,32,32,400000000,0,1
D7,61,61,100,39,39,39,300000000,0,1
D7,61,61,100,40,40,40,5266666666.666667,0,1
D7,61,61,100,8,8,8,1633333333.3333333,0,1
D7,61,61,100,II.F2,II.F2,II.F2,1000000000,0,1
D7,61,61,5-95,2-25,2,25,10666666666.666666,166666666.6666667,0.9791666666666666
D7,61,61,5-95,2-32,2,32,0,0,NA
D7,61,61,5-95,2-II.F2,2,II.F2,1066666666.6666666,466666666.6666667,0.6723646723646723
D7,61,61,5-95,40-2,40,2,33333333.333333336,1033333333.3333334,0.9743589743589743
D7,61,61,5-95,40-39,40,39,5300000000,0,1
D7,61,61,5-95,40-8,40,8,433333333.3333333,1033333333.3333334,0.7067026540710751
D7,61,61,5-95,40-II.F2,40,II.F2,2900000000,1933333333.3333333,0.6078790490555197
D7,61,61,5-95,6-25,6,25,11833333333.333334,2666666666.6666665,0.6234696234696235
D7,61,61,50-50,2-25,2,25,6500000000,1000000000,0.8204678362573099
D7,61,61,50-50,2-32,2,32,0,0,NA
D7,61,61,50-50,2-II.F2,2,II.F2,800000000,300000000,0.7870370370370371
D7,61,61,50-50,40-2,40,2,33333333.333333336,1266666666.6666667,0.9629629629629629
D7,61,61,50-50,40-39,40,39,5566666666.666667,0,1
D7,61,61,50-50,40-8,40,8,533333333.3333333,866666666.6666666,0.6427005012531328
D7,61,61,50-50,40-II.F2,40,II.F2,2100000000,2400000000,0.46746031746031746
D7,61,61,50-50,6-25,6,25,12333333333.333332,0,1
D7,61,61,95-5,2-25,2,25,8333333333.333334,2000000000,0.7175824175824176
D7,61,61,95-5,2-32,2,32,266666666.6666667,2266666666.6666665,0.8964285714285715
D7,61,61,95-5,2-II.F2,2,II.F2,1533333333.3333333,66666666.66666667,0.9629629629629629
D7,61,61,95-5,40-2,40,2,100000000,1166666666.6666667,0.9
D7,61,61,95-5,40-39,40,39,5333333333.333333,0,1
D7,61,61,95-5,40-8,40,8,400000000,933333333.3333334,0.7014652014652015
D7,61,61,95-5,40-II.F2,40,II.F2,666666666.6666666,2233333333.3333335,0.22496947496947498
D7,61,61,95-5,6-25,6,25,6500000000,4666666666.666667,0.5080213903743316
